stage,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us,kernelName,err,tflops,bw,flat
stage2,80,1,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,128,0,36.4625,moe_ck2stages_gemm2_256x128x128x128_1x4_MulABScaleExpertWeight_v3_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,2.4%,1.55,24847.12,0
stage2,80,1,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,128,0,47.6922,moe_ck2stages_gemm2_256x128x128x64_1x4_MulABScaleExpertWeight_v3_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,99.5%,1.19,18996.57,0
stage2,80,1,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,128,0,45.3533,moe_ck2stages_gemm2_256x128x64x64_1x4_MulABScaleExpertWeight_v3_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,99.5%,1.25,19976.23,0
stage1,80,2,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,64.6991,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_16x128_4tg_pf2E,97.8%,1.75,14003.39,0
stage1,80,2,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,37.4555,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_16x128_4tg_pf3E,97.8%,3.02,24188.88,0
stage1,80,2,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,-1.0,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_16x256_3tg_pf2E,100.0%,0.0,0.0,0
stage1,80,2,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,-1.0,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_16x256_2tg_pf3E,100.0%,0.0,0.0,0
stage1,80,2,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,-1.0,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_16x512_2tg_pf2E,100.0%,0.0,0.0,0
stage1,80,2,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,-1.0,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_16x512_pf3E,100.0%,0.0,0.0,0
stage1,80,2,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,56.27,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_16x64_6tg_pf2E,97.8%,2.01,16101.06,0
