gfx,cu_num,tp,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,gate_mode,block_m,ksplit,kernelName1,kernelName2,us,us_default,speedup_vs_default,candidates_timed,_tag
gfx950,256,8,1024,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x128x256_nt,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,400.282,401.108,1.0021,19,mega_moe_tp_pinned
gfx950,256,8,2048,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x128x256_nt,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_nt_sbm32,501.1291,543.7335,1.085,30,mega_moe_tp_pinned
gfx950,256,8,4096,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,64,0,flydsl_mxmoe_g1_a4w4_64x128x256_nt,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_nt_sbm64,725.9294,878.1409,1.2097,30,mega_moe_tp_pinned
gfx950,256,8,8192,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,128,0,flydsl_mxmoe_g1_a4w4_128x256x256,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x128_reduce_sbm128,1103.2572,1420.5264,1.2876,36,mega_moe_tp_pinned
gfx950,256,8,16384,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,128,0,flydsl_mxmoe_g1_a4w4_128x256x256,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x128_reduce_sbm128,2039.4548,2731.2539,1.3392,30,mega_moe_tp_pinned
gfx950,256,8,32768,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,128,0,flydsl_mxmoe_g1_a4w4_128x256x256,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x128_reduce_sbm128,3979.4385,5442.4536,1.3676,36,mega_moe_tp_pinned
gfx950,256,8,8,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x128x256,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_sbm32,304.7051,311.5012,1.0223,38,mega_moe_tp_pinned
gfx950,256,8,16,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x64x256,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_nt_sbm32,295.629,299.877,1.0144,27,mega_moe_tp_pinned
gfx950,256,8,32,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,128,0,flydsl_mxmoe_g1_a4w4_128x256x256,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x256_atomic_nt_sbm128,299.071,304.5391,1.0183,27,mega_moe_tp_pinned
gfx950,256,8,64,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x128x256_nt,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_nt_sbm32,297.615,302.3791,1.016,27,mega_moe_tp_pinned
gfx950,256,8,128,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x128x256_nt,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_nt_sbm32,297.3411,300.717,1.0114,27,mega_moe_tp_pinned
gfx950,256,8,256,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,32,0,flydsl_mxmoe_g1_a4w4_32x256x256,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_sbm32,295.929,300.7291,1.0162,38,mega_moe_tp_pinned
gfx950,256,8,512,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,64,0,flydsl_mxmoe_g1_a4w4_64x128x256_nt,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_sbm64,298.607,364.1857,1.2196,52,mega_moe_tp_pinned
gfx950,256,8,1024,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,64,0,flydsl_mxmoe_g1_a4w4_64x128x256_nt,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_sbm64,302.5691,363.2957,1.2007,38,mega_moe_tp_pinned
gfx950,256,8,2048,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,128,0,flydsl_mxmoe_g1_a4w4_128x128x256,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x256_reduce_sbm128,402.7981,515.7493,1.2804,38,mega_moe_tp_pinned
gfx950,256,8,4096,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,64,0,flydsl_mxmoe_g1_a4w4_64x128x256,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,664.3448,806.0103,1.2132,38,mega_moe_tp_pinned
gfx950,256,8,8192,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,128,0,flydsl_mxmoe_g1_a4w4_128x128x256,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x256_reduce_sbm128,1060.5929,1430.5446,1.3488,38,mega_moe_tp_pinned
gfx950,256,8,16384,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,128,0,flydsl_mxmoe_g1_a4w4_128x128x256,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x128_reduce_sbm128,1910.4553,2660.0012,1.3923,38,mega_moe_tp_pinned
gfx950,256,8,32768,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,SEPARATED,128,0,flydsl_mxmoe_g1_a4w4_128x256x256,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x128_reduce_sbm128,3637.865,5208.8154,1.4318,38,mega_moe_tp_pinned
