gfx,cu_num,M,N,K,a_dtype,b_dtype,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,800,2048,7168,fp8,fp8,flydsl,2469,2,27.9196,flydsl_mxpsh_64x128x256_F8_F8_B16_w3_x4_sk2,841.28,848.55,0.0
gfx950,256,832,2048,7168,fp8,fp8,flydsl,2934,4,27.9574,flydsl_mxpsh_128x128x256_F8_F8_B16_w1_x4_sk4,873.74,860.3,0.0
gfx950,256,864,2048,7168,fp8,fp8,flydsl,2445,2,28.2263,flydsl_mxpsh_64x128x256_F8_F8_B16_w0_x4_sk2,898.71,864.87,0.0
gfx950,256,896,2048,7168,fp8,fp8,flydsl,2461,2,27.9822,flydsl_mxpsh_64x128x256_F8_F8_B16_w2_x4_sk2,940.12,885.3,0.0
gfx950,256,928,2048,7168,fp8,fp8,flydsl,2941,2,28.6124,flydsl_mxpsh_128x128x256_F8_F8_B16_w2_x4_sk2,952.25,878.4,0.0
gfx950,256,960,2048,7168,fp8,fp8,flydsl,2950,4,28.8014,flydsl_mxpsh_128x128x256_F8_F8_B16_w3_x4_sk4,978.62,885.15,0.0
gfx950,256,992,2048,7168,fp8,fp8,flydsl,2925,2,28.9684,flydsl_mxpsh_128x128x256_F8_F8_B16_w0_x4_sk2,1005.41,892.49,0.0
gfx950,256,1024,2048,7168,fp8,fp8,flydsl,2941,2,29.5692,flydsl_mxpsh_128x128x256_F8_F8_B16_w2_x4_sk2,1016.76,886.54,0.0
gfx950,256,1088,2048,7168,fp8,fp8,flydsl,2701,2,32.8835,flydsl_mxpsh_96x128x256_F8_F8_B16_w2_x4_sk2,971.42,819.11,0.0
gfx950,256,1152,2048,7168,fp8,fp8,flydsl,2693,2,32.1325,flydsl_mxpsh_96x128x256_F8_F8_B16_w1_x4_sk2,1052.61,860.69,0.0
gfx950,256,1216,2048,7168,fp8,fp8,flydsl,2717,2,33.296,flydsl_mxpsh_96x128x256_F8_F8_B16_w4_x4_sk2,1072.26,852.27,0.0
gfx950,256,1280,2048,7168,fp8,fp8,flydsl,2701,2,33.5409,flydsl_mxpsh_96x128x256_F8_F8_B16_w2_x4_sk2,1120.45,867.54,0.0
gfx950,256,1344,2048,7168,fp8,fp8,flydsl,2693,2,33.8105,flydsl_mxpsh_96x128x256_F8_F8_B16_w1_x4_sk2,1167.09,881.94,0.0
gfx950,256,1408,2048,7168,fp8,fp8,flydsl,2701,2,34.1725,flydsl_mxpsh_96x128x256_F8_F8_B16_w2_x4_sk2,1209.72,893.69,0.0
gfx950,256,1472,2048,7168,fp8,fp8,flydsl,2693,2,35.3875,flydsl_mxpsh_96x128x256_F8_F8_B16_w1_x4_sk2,1221.28,883.38,0.0
gfx950,256,1536,2048,7168,fp8,fp8,flydsl,2717,2,36.6817,flydsl_mxpsh_96x128x256_F8_F8_B16_w4_x4_sk2,1229.42,871.87,0.0
gfx950,256,1600,2048,7168,fp8,fp8,flydsl,2957,2,40.2166,flydsl_mxpsh_128x128x256_F8_F8_B16_w4_x4_sk2,1168.08,813.16,0.0
gfx950,256,1664,2048,7168,fp8,fp8,flydsl,2452,1,40.2931,flydsl_mxpsh_64x128x256_F8_F8_B16_w1_x4_sk1,1212.5,829.51,0.0
gfx950,256,1728,2048,7168,fp8,fp8,flydsl,2948,1,40.9735,flydsl_mxpsh_128x128x256_F8_F8_B16_w3_x4_sk1,1238.22,833.33,0.0
gfx950,256,1792,2048,7168,fp8,fp8,flydsl,2468,1,40.8514,flydsl_mxpsh_64x128x256_F8_F8_B16_w3_x4_sk1,1287.92,853.46,0.0
gfx950,256,1856,2048,7168,fp8,fp8,flydsl,2925,2,42.3276,flydsl_mxpsh_128x128x256_F8_F8_B16_w0_x4_sk2,1287.4,840.73,0.0
gfx950,256,1920,2048,7168,fp8,fp8,flydsl,2948,1,41.8785,flydsl_mxpsh_128x128x256_F8_F8_B16_w3_x4_sk1,1346.07,866.96,0.0
gfx950,256,1984,2048,7168,fp8,fp8,flydsl,2940,1,42.0922,flydsl_mxpsh_128x128x256_F8_F8_B16_w2_x4_sk1,1383.88,879.68,0.0
gfx950,256,2048,2048,7168,fp8,fp8,flydsl,2940,1,42.442,flydsl_mxpsh_128x128x256_F8_F8_B16_w2_x4_sk1,1416.75,889.42,0.0
gfx950,256,4096,2048,7168,fp8,fp8,flydsl,2944,1,69.6077,flydsl_mxpsh_128x128x256_F8_F8_B16_w3_x0_sk1,1727.67,873.72,0.0
gfx950,256,6144,2048,7168,fp8,fp8,flydsl,2732,1,97.1776,flydsl_mxpsh_96x256x128_F8_F8_B16_w1_x4_sk1,1856.28,863.22,0.0
gfx950,256,8192,2048,7168,fp8,fp8,flydsl,2980,1,114.2994,flydsl_mxpsh_128x256x128_F8_F8_B16_w2_x4_sk1,2104.28,935.74,0.0
gfx950,256,10240,2048,7168,fp8,fp8,flydsl,2928,1,155.5166,flydsl_mxpsh_128x128x256_F8_F8_B16_w1_x0_sk1,1933.22,836.07,0.0
gfx950,256,12288,2048,7168,fp8,fp8,flydsl,2972,1,176.0565,flydsl_mxpsh_128x256x128_F8_F8_B16_w1_x4_sk1,2049.21,869.56,0.0
gfx950,256,14336,2048,7168,fp8,fp8,flydsl,2972,1,198.9261,flydsl_mxpsh_128x256x128_F8_F8_B16_w1_x4_sk1,2115.9,885.56,0.0
gfx950,256,16384,2048,7168,fp8,fp8,flydsl,2964,1,213.3612,flydsl_mxpsh_128x256x128_F8_F8_B16_w0_x4_sk1,2254.56,933.77,0.0
gfx950,256,32768,2048,7168,fp8,fp8,flydsl,2980,1,404.2502,flydsl_mxpsh_128x256x128_F8_F8_B16_w2_x4_sk1,2379.89,949.36,0.0
gfx950,256,1,6144,7168,fp8,fp8,flydsl,2234,4,14.0421,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x0_sk4,6.27,3137.68,0.0
gfx950,256,2,6144,7168,fp8,fp8,flydsl,2234,4,15.0086,flydsl_mxpsh_32x128x256_F8_F8_B16_w4_x0_sk4,11.74,2936.92,0.0
gfx950,256,4,6144,7168,fp8,fp8,flydsl,2458,4,14.8284,flydsl_mxpsh_64x128x256_F8_F8_B16_w2_x0_sk4,23.76,2975.24,0.0
gfx950,256,8,6144,7168,fp8,fp8,flydsl,2210,4,14.5538,flydsl_mxpsh_32x128x256_F8_F8_B16_w1_x0_sk4,48.42,3036.72,0.0
gfx950,256,16,6144,7168,fp8,fp8,flydsl,2202,4,14.8372,flydsl_mxpsh_32x128x256_F8_F8_B16_w0_x0_sk4,94.98,2989.21,0.0
gfx950,256,32,6144,7168,fp8,fp8,flydsl,2202,4,15.5412,flydsl_mxpsh_32x128x256_F8_F8_B16_w0_x0_sk4,181.36,2873.83,0.0
gfx950,256,48,6144,7168,fp8,fp8,flydsl,2454,4,16.7177,flydsl_mxpsh_64x128x256_F8_F8_B16_w1_x4_sk4,252.9,2690.21,0.0
gfx950,256,64,6144,7168,fp8,fp8,flydsl,2470,4,17.4233,flydsl_mxpsh_64x128x256_F8_F8_B16_w3_x4_sk4,323.54,2599.13,0.0
gfx950,256,80,6144,7168,fp8,fp8,flydsl,2690,4,18.2172,flydsl_mxpsh_96x128x256_F8_F8_B16_w1_x0_sk4,386.8,2502.95,0.0
gfx950,256,96,6144,7168,fp8,fp8,flydsl,2694,4,18.8835,flydsl_mxpsh_96x128x256_F8_F8_B16_w1_x4_sk4,447.78,2431.12,0.0
gfx950,256,112,6144,7168,fp8,fp8,flydsl,2954,4,19.9948,flydsl_mxpsh_128x128x256_F8_F8_B16_w4_x0_sk4,493.38,2311.56,0.0
gfx950,256,128,6144,7168,fp8,fp8,flydsl,2922,4,20.8153,flydsl_mxpsh_128x128x256_F8_F8_B16_w0_x0_sk4,541.63,2235.4,0.0
gfx950,256,144,6144,7168,fp8,fp8,flydsl,2702,4,23.5386,flydsl_mxpsh_96x128x256_F8_F8_B16_w2_x4_sk4,538.84,1990.0,0.0
gfx950,256,160,6144,7168,fp8,fp8,flydsl,2718,4,24.5865,flydsl_mxpsh_96x128x256_F8_F8_B16_w4_x4_sk4,573.2,1917.85,0.0
gfx950,256,176,6144,7168,fp8,fp8,flydsl,2686,4,25.8343,flydsl_mxpsh_96x128x256_F8_F8_B16_w0_x4_sk4,600.06,1837.26,0.0
gfx950,256,192,6144,7168,fp8,fp8,flydsl,2469,2,25.9565,flydsl_mxpsh_64x128x256_F8_F8_B16_w3_x4_sk2,651.53,1840.61,0.0
gfx950,256,208,6144,7168,fp8,fp8,flydsl,2470,4,27.2989,flydsl_mxpsh_64x128x256_F8_F8_B16_w3_x4_sk4,671.12,1761.5,0.0
gfx950,256,224,6144,7168,fp8,fp8,flydsl,2949,2,28.0316,flydsl_mxpsh_128x128x256_F8_F8_B16_w3_x4_sk2,703.85,1726.56,0.0
gfx950,256,240,6144,7168,fp8,fp8,flydsl,2925,2,28.4665,flydsl_mxpsh_128x128x256_F8_F8_B16_w0_x4_sk2,742.6,1711.12,0.0
