M,N,K
64513, 14336, 5120
64514, 5120, 6144
64514, 5120, 17408
64514, 34816, 5120
64514, 16384, 5120
64514, 14336, 5120
64576, 5120, 6144
64576, 5120, 17408
64576, 34816, 5120
64576, 16384, 5120
64576, 14336, 5120
64577, 5120, 6144
64577, 5120, 17408
64577, 34816, 5120
64577, 16384, 5120
64577, 14336, 5120
64590, 5120, 6144
64590, 5120, 17408
64590, 34816, 5120
64590, 16384, 5120
64590, 14336, 5120
64625, 5120, 6144
64625, 5120, 17408
64625, 34816, 5120
64625, 16384, 5120
64625, 14336, 5120
64628, 5120, 6144
64628, 5120, 17408
64628, 34816, 5120
64628, 16384, 5120
64628, 14336, 5120
65536, 5120, 6144
65536, 5120, 17408
65536, 34816, 5120
65536, 16384, 5120
65536, 14336, 5120
