gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,2,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,195,2,14.7234,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x6_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0051,10.26,5131.06
gfx950,256,4,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,9.3316,auto,0.0,16.18,4053.16
gfx950,256,4,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,11.2106,auto,0.0,17.96,4496.96
gfx950,256,4,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,195,2,14.8886,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x6_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0057,20.28,5077.43
gfx950,256,8,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,371,2,9.6314,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x7_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0043,31.35,3934.65
gfx950,256,8,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,11.305,auto,0.0,35.62,4466.65
gfx950,256,8,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,179,2,15.5365,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x5_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0058,38.87,4872.02
gfx950,256,16,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,9.5195,auto,0.0,63.45,3996.39
gfx950,256,16,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,11.4602,auto,0.0,70.27,4420.46
gfx950,256,16,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,250,2,15.8881,flydsl_hgemm_abf16_wbf16_bf16_t16x64x256x3_ks2_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0136,76.03,4776.57
gfx950,256,32,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,10.6751,auto,0.0,113.16,3591.4
gfx950,256,32,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,12.3704,auto,0.0,130.2,4121.69
gfx950,256,32,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,894,2,17.5815,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x5_ks2_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0056,137.41,4338.87
gfx950,256,48,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,162,1,12.8436,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x8_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0042,141.08,3007.99
gfx950,256,48,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,88,1,15.3434,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x4_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,157.46,3344.41
