gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,23827,4608,4096,54,0,225.8062,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3983.23,1230.37,0.0
gfx950,256,23830,9216,4096,54,0,423.803,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4245.14,1196.1,0.0
gfx950,256,23839,9216,4096,54,0,420.9882,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4275.14,1204.54,0.0
gfx950,256,23843,9216,4096,54,0,423.2414,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4253.1,1198.32,0.0
gfx950,256,23844,9216,4096,54,0,430.7306,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4179.32,1177.53,0.0
gfx950,256,23845,1280,4096,54,0,73.5668,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3398.72,1529.21,0.0
gfx950,256,23845,4096,1024,54,0,89.3502,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2238.68,2346.32,0.0
gfx950,256,23849,2304,4096,54,0,127.0965,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3541.68,1286.09,0.0
gfx950,256,23849,4096,2048,54,0,126.5658,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3161.36,1769.73,0.0
gfx950,256,23850,4608,4096,54,0,222.6097,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4044.33,1249.2,0.0
gfx950,256,23854,4608,4096,54,0,225.7505,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3988.73,1232.02,0.0
gfx950,256,23856,9216,4096,54,0,433.3558,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4156.09,1170.97,0.0
gfx950,256,23863,4608,4096,54,0,226.2654,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3981.16,1229.66,0.0
gfx950,256,23867,4608,4096,54,0,219.4713,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4105.09,1267.93,0.0
gfx950,256,23869,9216,4096,54,0,424.4014,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4246.1,1196.3,0.0
gfx950,256,23872,9216,4096,54,0,429.9873,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4191.46,1180.9,0.0
gfx950,256,23877,1280,4096,54,0,73.9096,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3387.5,1524.11,0.0
gfx950,256,23877,4096,1024,36,0,89.241,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_64x1024E,2244.43,2352.31,0.0
gfx950,256,23889,9216,4096,54,0,429.4378,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4199.81,1183.22,0.0
gfx950,256,23895,9216,4096,54,0,428.698,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4208.12,1185.55,0.0
gfx950,256,23900,4608,4096,54,0,227.5121,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3965.48,1224.76,0.0
gfx950,256,23902,2304,4096,52,0,132.4101,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E,3407.11,1237.14,0.0
gfx950,256,23902,4096,2048,45,0,125.9727,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3183.3,1781.93,0.0
gfx950,256,23903,9216,4096,54,0,433.0747,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4166.99,1173.95,0.0
