gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,256,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,311.9891,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_nt_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,311.9891,0,0,0,96.8,12111.98
gfx950,256,512,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,206.8732,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.9%,116.5511,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.2%,323.4243,0,0,0,186.75,11695.9
gfx950,256,1024,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,342.2147,flydsl_mxmoe_g1_a4w4_32x64x256_nt_kw2_xcd4_w2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.2%,342.2147,0,0,0,352.98,11076.68
gfx950,256,2048,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,378.4069,flydsl_mxmoe_g1_a4w4_64x256x256_nt_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_persist_nt_sbm64,1.2%,378.4069,0,0,0,638.44,10058.83
gfx950,256,4096,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,553.3216,flydsl_mxmoe_g1_a4w4_64x256x256_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_persist_sbm64,1.2%,553.3216,0,0,0,873.24,6935.91
gfx950,256,8192,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,785.6544,flydsl_mxmoe_g1_a4w4_64x256x256_xcd4,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,1.2%,785.6544,0,0,0,1230.02,4964.91
gfx950,256,16384,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1315.479,flydsl_mxmoe_g1_a4w4_64x256x256_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,1.2%,1315.479,0,0,0,1469.23,3060.89
gfx950,256,32768,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,2362.4787,flydsl_mxmoe_g1_a4w4_128x256x256_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x128_reduce_sbm128,1.2%,2362.4787,0,0,0,1636.19,1810.89
gfx950,256,1,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,15.6341,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_kw4_fp4,0.9%,12.1345,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_sbm32,1.2%,27.7686,0,0,0,15.29,122346.88
gfx950,256,2,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,26.8472,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.9%,17.8067,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_reduce_nt_sbm32,1.1%,44.6539,0,0,0,19.02,76083.32
