gfx,cu_num,M,N,K,outdtype,bias,bpreshuffle,libtype,kernelId,splitK,us,kernelName,errRatio,tflops,bw
gfx950,256,4,6144,384,torch.bfloat16,False,True,flydsl,13,1,3.4983,flydsl_mxfp8_bf16_bp1_bd1_t16x32x128x4_ks1_w1x2x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,5.4,688.9
gfx950,256,8,6144,384,torch.bfloat16,False,True,flydsl,4,1,4.0376,flydsl_mxfp8_bf16_bp1_bd1_t16x16x128x4_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,9.35,609.44
gfx950,256,1,6144,768,torch.bfloat16,False,True,flydsl,61,1,4.15,flydsl_mxfp8_bf16_bp1_bd1_t16x32x256x4_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,2.27,1140.16
gfx950,256,2,6144,768,torch.bfloat16,False,True,flydsl,20,1,4.9844,flydsl_mxfp8_bf16_bp1_bd1_t16x16x256x4_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,3.79,951.91
gfx950,256,4,6144,768,torch.bfloat16,False,True,flydsl,61,1,4.293,flydsl_mxfp8_bf16_bp1_bd1_t16x32x256x4_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,8.79,1111.3
gfx950,256,8,6144,768,torch.bfloat16,False,True,flydsl,61,1,3.7863,flydsl_mxfp8_bf16_bp1_bd1_t16x32x256x4_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,19.94,1273.81
gfx950,256,1,6144,2048,torch.bfloat16,False,True,flydsl,68,1,5.6355,flydsl_mxfp8_bf16_bp1_bd1_t16x16x512x5_ks1_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,4.47,2235.34
gfx950,256,2,6144,2048,torch.bfloat16,False,True,flydsl,180,1,5.0534,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x5_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,9.96,2495.66
gfx950,256,4,6144,2048,torch.bfloat16,False,True,flydsl,175,1,5.4098,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x4_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,18.61,2336.55
gfx950,256,8,6144,2048,torch.bfloat16,False,True,flydsl,178,1,4.9894,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x5_ks1_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,40.35,2544.92
gfx950,256,16,6144,2048,torch.bfloat16,False,True,flydsl,178,1,5.5591,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x5_ks1_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,72.43,2304.74
gfx950,256,32,6144,2048,torch.bfloat16,False,True,flydsl,198,1,5.3694,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x5_ks1_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,149.98,2428.89
gfx950,256,64,6144,2048,torch.bfloat16,False,True,flydsl,1105,1,6.3486,flydsl_mxfp8_bf16_bp1_bd1_t32x64x512x5_ks1_w1x2x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,253.7,2126.52
gfx950,256,128,6144,2048,torch.bfloat16,False,True,flydsl,1028,1,9.9952,flydsl_mxfp8_bf16_bp1_bd1_t32x96x512x5_ks1_w1x2x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,322.28,1442.48
gfx950,256,256,6144,2048,torch.bfloat16,False,True,flydsl,1992,1,10.2151,flydsl_mxfp8_bf16_bp1_bd1_t64x96x512x4_ks1_w1x2x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,630.68,1591.07
gfx950,256,512,6144,2048,torch.bfloat16,False,True,flydsl,1460,1,15.1357,flydsl_mxfp8_bf16_bp1_bd1_t64x256x512x3_ks1_w1x4x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,851.29,1316.29
gfx950,256,1024,6144,2048,torch.bfloat16,False,True,flydsl,554,1,22.9089,flydsl_mxfp8_bf16_bp1_bd1_t64x256x512x2_ks1_w1x4x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,1124.88,1190.06
gfx950,256,2048,6144,2048,torch.bfloat16,False,True,flydsl,341,1,34.4927,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm0_phti_gfx950,0.0,1494.22,1216.0
gfx950,256,4096,6144,2048,torch.bfloat16,False,True,flydsl,302,1,65.0122,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm0_phti_gfx950,0.0,1585.54,1096.77
gfx950,256,8192,6144,2048,torch.bfloat16,False,True,flydsl,302,1,110.5503,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm0_phti_gfx950,0.0,1864.84,1176.15
gfx950,256,16384,6144,2048,torch.bfloat16,False,True,flydsl,302,1,238.2511,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm0_phti_gfx950,0.0,1730.6,1038.67
gfx950,256,32768,6144,2048,torch.bfloat16,False,True,flydsl,303,1,450.7229,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm4_phti_gfx950,0.0,1829.58,1070.16
gfx950,256,1,6144,3072,torch.bfloat16,False,True,flydsl,254,1,6.3929,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x7_ks1_w1x2x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,5.9,2954.8
gfx950,256,2,6144,3072,torch.bfloat16,False,True,flydsl,252,1,6.0895,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x7_ks1_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,12.4,3104.54
